Ticker,Cluster,PCA_1,PCA_2
JNJ,1,-8.3894640413651,6.17294538015007
AMGN,1,9.975446477820851,4.80876295841514
UNH,1,-20.568339911234983,5.620861782794346
PG,1,-5.195046896538936,-9.639386195550749
MRK,1,-6.295199300494043,-19.412196231847396
MCD,1,-0.3404425284720177,-16.760886991803844
KO,1,-16.886847007960743,4.2849646045973
WMT,2,0.9626402076573524,3.5021876749799263
VZ,3,9.00288644855914,-8.908279694375691
CVX,4,-5.663973389292977,-8.434749279687487
TRV,4,-1.1129764316416186,-10.886149714941856
V,5,-0.6104115956918674,-0.7902796757126281
AMZN,5,3.165579710208109,-2.265169602985108
SHW,5,5.419414309498389,2.029234386253932
AXP,5,12.807400088149754,6.336214315278602
NVDA,5,1.5009619503158922,-9.51950582886025
NKE,5,9.838362100904446,6.4872650548627675
MSFT,5,7.314922204128756,5.304723158146218
BA,5,3.944191292922171,-7.112362090927414
MMM,5,13.60653963146479,9.03018181076551
CAT,5,-11.367190811449788,10.190210621800325
CRM,5,-4.362065801532879,-5.262380550779825
JPM,5,-46.15614285078226,8.550595133819927
IBM,5,10.75046155669796,8.334917797297008
HON,5,-1.5034438488031763,0.8856687828697734
HD,5,9.381965346866252,-2.392290856806295
GS,5,11.809902161858487,8.613700244810335
DIS,5,0.33494175164009166,1.3145891984088005
CSCO,5,11.394199569240442,2.374067431833578
AAPL,5,7.241729607327496,7.542546377194985
